AccountID,Transactions,TotalAmount,AvgBalance,Segment
AC00001,2,260.76,2915.16,Low Value
AC00002,7,2056.21,4480.421428571429,High Value
AC00003,5,1266.3400000000001,7329.567999999999,Medium Value
AC00004,9,2180.08,3340.956666666667,High Value
AC00005,9,3131.77,4457.837777777778,High Value
AC00006,4,1017.72,2051.2625,Medium Value
AC00007,5,1495.3799999999999,7428.594,Medium Value
AC00008,1,76.16,1072.25,Low Value
AC00009,5,984.08,2929.928,Medium Value
AC00010,7,2768.67,5618.32,High Value
AC00011,7,2438.26,2679.1014285714286,High Value
AC00012,6,2067.78,4145.016666666666,High Value
AC00013,8,1631.28,4462.63125,Medium Value
AC00014,9,3134.2799999999997,6523.9977777777785,High Value
AC00015,4,1148.74,3903.65,Medium Value
AC00016,6,2271.9700000000003,3985.7966666666666,High Value
AC00017,5,1133.45,3273.4739999999997,Medium Value
AC00018,3,1658.6699999999998,8086.323333333334,Medium Value
AC00019,4,948.19,4981.91,Low Value
AC00020,9,3788.01,3833.6277777777777,High Value
AC00021,8,4263.34,3631.3912499999997,High Value
AC00022,4,775.6800000000001,6334.74,Low Value
AC00023,6,1251.74,3662.5466666666666,Medium Value
AC00024,5,1426.94,3440.032,Medium Value
AC00025,2,415.37,6009.835,Low Value
AC00026,6,952.11,4629.8516666666665,Low Value
AC00027,3,557.54,9518.5,Low Value
AC00028,3,2170.17,1610.4666666666665,High Value
AC00029,6,1942.1200000000001,6264.863333333334,High Value
AC00030,9,2969.7,5498.2877777777785,High Value
AC00032,9,3384.66,3675.5722222222225,High Value
AC00033,6,900.99,3460.8866666666668,Low Value
AC00034,4,1007.9000000000001,2910.24,Medium Value
AC00035,9,2151.17,6841.31,High Value
AC00036,5,1608.4,6564.382,Medium Value
AC00037,2,253.25,7725.1,Low Value
AC00038,1,301.73,990.74,Low Value
AC00039,7,2120.76,3446.2971428571427,High Value
AC00040,5,2925.57,5260.7699999999995,High Value
AC00041,7,1149.68,3217.4000000000005,Medium Value
AC00042,5,1054.04,2019.3020000000001,Medium Value
AC00043,4,2014.75,6327.0175,High Value
AC00044,1,487.32,7707.96,Low Value
AC00045,5,1845.12,4162.487999999999,High Value
AC00046,3,1069.95,4855.713333333334,Medium Value
AC00047,4,1612.2,6822.0775,Medium Value
AC00048,3,1602.27,6138.25,Medium Value
AC00049,2,1113.77,6420.015,Medium Value
AC00050,5,1019.56,2506.364,Medium Value
AC00051,4,949.2,2963.5225,Low Value
AC00052,3,424.46999999999997,11790.659999999998,Low Value
AC00053,7,703.3100000000001,6333.698571428571,Low Value
AC00054,9,1751.77,8343.468888888889,Medium Value
AC00055,5,941.1099999999999,2345.77,Low Value
AC00056,6,498.66,3311.976666666667,Low Value
AC00057,5,1127.62,2884.134,Medium Value
AC00058,7,1719.58,6184.515714285714,Medium Value
AC00059,4,592.97,5450.702499999999,Low Value
AC00060,4,1552.72,8073.03,Medium Value
AC00061,5,957.06,4894.168,Low Value
AC00062,3,689.82,4016.0966666666664,Low Value
AC00063,10,3192.72,6064.0650000000005,High Value
AC00064,4,1411.05,6635.09,Medium Value
AC00065,5,1100.17,5017.586,Medium Value
AC00066,4,863.0699999999999,4661.9349999999995,Low Value
AC00067,7,3224.38,6148.915714285715,High Value
AC00068,4,2641.99,3794.6925,High Value
AC00069,7,1617.58,6979.097142857143,Medium Value
AC00070,8,1891.8700000000001,5023.30875,High Value
AC00071,8,4050.12,1760.04875,High Value
AC00072,4,1289.02,5915.9325,Medium Value
AC00073,5,1834.82,6266.718,High Value
AC00074,3,397.1,5596.883333333334,Low Value
AC00075,5,1091.8700000000001,5046.526,Medium Value
AC00076,7,1660.0400000000002,4514.394285714286,Medium Value
AC00077,6,1756.3200000000002,5078.52,Medium Value
AC00078,6,2937.12,4800.7,High Value
AC00079,5,515.02,8332.318,Low Value
AC00080,6,2238.37,4599.393333333333,High Value
AC00081,3,607.37,833.0,Low Value
AC00082,3,722.08,2743.0533333333333,Low Value
AC00083,6,2753.38,3086.2766666666666,High Value
AC00084,2,502.03,5090.395,Low Value
AC00085,6,1695.71,3256.9216666666666,Medium Value
AC00086,7,3190.07,3770.9185714285713,High Value
AC00087,9,1842.47,5808.111111111111,High Value
AC00088,2,513.54,1355.865,Low Value
AC00089,5,1201.26,5283.8099999999995,Medium Value
AC00090,9,2579.9700000000003,5545.664444444444,High Value
AC00091,3,1077.01,7123.256666666667,Medium Value
AC00092,8,2317.6,6780.3775,High Value
AC00093,9,3165.4300000000003,4057.8533333333335,High Value
AC00094,4,224.01999999999998,4518.3225,Low Value
AC00095,8,3181.87,6626.547500000001,High Value
AC00096,3,882.3,3377.3033333333333,Low Value
AC00097,3,261.72,4684.803333333333,Low Value
AC00098,5,3212.57,7159.088000000001,High Value
AC00099,4,2510.98,6798.962500000001,High Value
AC00100,3,447.33000000000004,5941.206666666668,Low Value
AC00101,3,299.9,9256.106666666667,Low Value
AC00102,5,826.62,2944.042,Low Value
AC00103,5,2145.0,3225.65,High Value
AC00104,1,275.2,1230.12,Low Value
AC00105,3,381.82,4890.046666666666,Low Value
AC00106,6,2064.18,3476.0266666666666,High Value
AC00107,5,2980.3199999999997,3541.558,High Value
AC00108,6,1920.36,2645.5633333333335,High Value
AC00109,2,418.91999999999996,7460.469999999999,Low Value
AC00110,8,2507.77,6877.297500000001,High Value
AC00111,7,3071.73,7752.751428571429,High Value
AC00112,1,554.15,14817.22,Low Value
AC00113,4,1340.72,5511.6875,Medium Value
AC00114,7,2221.26,6692.155714285714,High Value
AC00115,3,752.09,5561.496666666666,Low Value
AC00116,6,1180.23,5196.58,Medium Value
AC00117,1,55.32,241.79,Low Value
AC00118,4,1250.6,2507.6725,Medium Value
AC00119,6,1639.27,7481.866666666668,Medium Value
AC00120,6,1744.58,7797.528333333333,Medium Value
AC00121,2,294.73,4727.515,Low Value
AC00122,6,1556.39,4967.5616666666665,Medium Value
AC00123,4,919.0600000000001,7671.035000000001,Low Value
AC00124,4,1190.82,7488.18,Medium Value
AC00125,6,1005.6899999999999,5158.7300000000005,Medium Value
AC00126,7,1519.86,5026.975714285714,Medium Value
AC00127,2,545.4499999999999,7377.245,Low Value
AC00128,7,3224.8900000000003,3310.4199999999996,High Value
AC00129,4,1095.42,6915.41,Medium Value
AC00130,9,2862.83,5486.9,High Value
AC00131,9,2829.42,4672.113333333334,High Value
AC00132,4,385.93,5044.507500000001,Low Value
AC00133,7,1398.29,3986.5799999999995,Medium Value
AC00134,1,49.59,6037.03,Low Value
AC00135,2,145.89,8796.24,Low Value
AC00136,8,3880.53,5374.211249999999,High Value
AC00137,3,377.17,3988.9500000000003,Low Value
AC00138,2,416.4,4039.17,Low Value
AC00139,8,1421.76,6090.3625,Medium Value
AC00140,7,1052.82,5234.305714285714,Medium Value
AC00141,5,1456.17,5206.886,Medium Value
AC00142,2,529.7,3924.345,Low Value
AC00143,5,1378.78,7637.503999999999,Medium Value
AC00144,8,1842.97,4127.6537499999995,High Value
AC00145,5,1402.7800000000002,4859.604,Medium Value
AC00146,2,1171.78,12340.82,Medium Value
AC00147,3,388.62,7854.639999999999,Low Value
AC00148,5,2868.79,6203.84,High Value
AC00149,6,2218.1,7058.091666666667,High Value
AC00150,7,2030.56,5858.764285714286,High Value
AC00151,4,1156.83,6460.787499999999,Medium Value
AC00152,4,969.87,3941.26,Low Value
AC00153,7,2451.89,4495.128571428571,High Value
AC00154,5,869.43,3856.7119999999995,Low Value
AC00155,6,1757.2,5971.546666666666,Medium Value
AC00156,5,2155.04,2481.3419999999996,High Value
AC00157,5,1249.0900000000001,4543.075999999999,Medium Value
AC00158,7,2354.62,5047.847142857143,High Value
AC00159,5,1024.1399999999999,5827.548000000001,Medium Value
AC00160,2,1026.89,5922.665,Medium Value
AC00161,4,1965.8999999999999,7019.25,High Value
AC00162,2,89.75,2093.06,Low Value
AC00163,2,615.91,1000.215,Low Value
AC00164,6,3039.38,6175.1016666666665,High Value
AC00165,6,1761.16,4871.538333333333,Medium Value
AC00166,6,1407.46,4251.545000000001,Medium Value
AC00167,5,1581.57,5161.33,Medium Value
AC00168,1,77.83,2471.53,Low Value
AC00169,2,175.69,7002.049999999999,Low Value
AC00170,7,1731.2800000000002,5322.22,Medium Value
AC00171,5,889.9300000000001,7441.08,Low Value
AC00172,5,2904.99,4234.562,High Value
AC00173,4,1795.2,5366.004999999999,High Value
AC00174,4,700.68,4297.865,Low Value
AC00175,7,2136.54,6035.412857142857,High Value
AC00176,8,2357.68,3415.33,High Value
AC00177,9,2953.1,4208.693333333333,High Value
AC00178,5,879.11,4872.183999999999,Low Value
AC00179,6,3819.73,8851.878333333334,High Value
AC00180,1,108.96,7597.66,Low Value
AC00181,5,1447.3,4768.766,Medium Value
AC00182,8,3553.6099999999997,3058.38625,High Value
AC00183,6,1635.97,3703.4066666666663,Medium Value
AC00184,4,1021.61,7573.0,Medium Value
AC00185,6,1454.4099999999999,4565.13,Medium Value
AC00186,2,456.83000000000004,8892.369999999999,Low Value
AC00187,5,953.1800000000001,4231.834,Low Value
AC00188,5,554.78,6394.692,Low Value
AC00189,5,1510.07,2049.5119999999997,Medium Value
AC00190,5,1104.1399999999999,2487.6400000000003,Medium Value
AC00191,3,511.29999999999995,11100.473333333333,Low Value
AC00192,4,2250.17,7032.6275000000005,High Value
AC00193,2,531.48,5706.585,Low Value
AC00194,5,944.42,4145.79,Low Value
AC00195,2,978.6600000000001,8328.465,Low Value
AC00196,6,2027.38,5811.728333333333,High Value
AC00197,4,602.33,4838.825,Low Value
AC00198,2,1067.8200000000002,5989.475,Medium Value
AC00199,1,7.08,13316.71,Low Value
AC00200,7,1547.47,5245.604285714285,Medium Value
AC00201,5,1035.32,2108.826,Medium Value
AC00202,12,3722.12,3980.2966666666666,High Value
AC00203,6,2741.2799999999997,5597.166666666667,High Value
AC00204,7,2658.75,4325.5257142857145,High Value
AC00205,4,1658.0099999999998,6163.795,Medium Value
AC00206,2,510.91,2588.2200000000003,Low Value
AC00207,2,258.82,3334.205,Low Value
AC00208,4,2470.8399999999997,3018.8075,High Value
AC00209,5,1377.83,3774.782,Medium Value
AC00210,4,1043.15,6364.28,Medium Value
AC00211,4,1989.56,7203.62,High Value
AC00212,3,936.99,8039.32,Low Value
AC00213,6,1576.72,5226.291666666667,Medium Value
AC00214,2,215.44,3292.69,Low Value
AC00215,5,961.87,6968.138000000001,Low Value
AC00216,5,1347.03,5081.764,Medium Value
AC00217,6,1395.58,2673.505,Medium Value
AC00218,7,1823.24,6312.392857142857,High Value
AC00219,10,1428.99,5530.194,Medium Value
AC00220,6,2551.05,6363.110000000001,High Value
AC00221,1,170.24,5172.99,Low Value
AC00222,4,1645.99,3920.585,Medium Value
AC00223,2,822.4,7726.22,Low Value
AC00224,2,480.7,4353.315,Low Value
AC00225,11,2926.3,4387.590909090909,High Value
AC00227,5,1642.8799999999999,6610.35,Medium Value
AC00228,8,2509.8999999999996,6111.245,High Value
AC00229,5,1103.31,4422.44,Medium Value
AC00230,3,1356.75,6717.666666666667,Medium Value
AC00231,5,1587.27,7652.6179999999995,Medium Value
AC00232,5,1310.56,6050.3820000000005,Medium Value
AC00233,6,814.72,6186.758333333334,Low Value
AC00235,7,1353.3000000000002,6119.731428571429,Medium Value
AC00236,6,2072.3999999999996,5299.056666666666,High Value
AC00237,5,1829.65,10119.09,High Value
AC00238,1,335.68,1188.95,Low Value
AC00239,5,1036.1399999999999,4056.996,Medium Value
AC00240,2,1501.3200000000002,1751.655,Medium Value
AC00241,9,1742.71,5154.2155555555555,Medium Value
AC00242,9,1309.69,4646.2477777777785,Medium Value
AC00243,4,729.82,4149.6175,Low Value
AC00244,5,1826.25,3762.472,High Value
AC00245,6,1061.5,8931.121666666666,Medium Value
AC00246,5,643.6400000000001,9185.617999999999,Low Value
AC00247,7,1156.44,5752.7242857142855,Medium Value
AC00248,7,2180.5699999999997,1939.4685714285715,High Value
AC00249,5,602.1800000000001,8682.344000000001,Low Value
AC00250,2,993.23,5055.095,Medium Value
